item	item_index	1	2	3	4	5	6	7	model	lang
A person’s gender can change over time.	1	0.04074152559041977	0.2734619081020355	0.4034005105495453	0.10347259789705276	0.05650336667895317	0.09018973261117935	0.03223041072487831	joeddav/xlm-roberta-large-xnli	en
Non-binary gender identities are valid.	2	0.002667069435119629	0.01794930174946785	0.007189453579485416	0.03137040138244629	0.06818012148141861	0.7466851472854614	0.12595845758914948	joeddav/xlm-roberta-large-xnli	en
Non-binary gender identities have always existed.	3	0.04080797731876373	0.26928383111953735	0.07009586691856384	0.4223070740699768	0.04617747664451599	0.0836155042052269	0.06771230697631836	joeddav/xlm-roberta-large-xnli	en
People who express their gender in ways that go against society’s norms are just being their true selves.	4	0.026604456827044487	0.32890191674232483	0.5303044319152832	0.01844230480492115	0.015331251546740532	0.06387492269277573	0.016540683805942535	joeddav/xlm-roberta-large-xnli	en
Gender is about how you express yourself (e.	5	0.021195469424128532	0.14826256036758423	0.047221504151821136	0.16823866963386536	0.0384770967066288	0.5449637174606323	0.031640972942113876	joeddav/xlm-roberta-large-xnli	en
Being a woman or a man has nothing to do with what genitals you have.	6	0.01446608267724514	0.09086515754461288	0.049079786986112595	0.6893595457077026	0.039210110902786255	0.07941841334104538	0.037600964307785034	joeddav/xlm-roberta-large-xnli	en
The only thing that determines whether someone truly is a woman or a man is whether they identify as a woman or a man.	7	0.04515496641397476	0.12448489665985107	0.18664900958538055	0.27358478307724	0.16260236501693726	0.1559659242630005	0.05155806243419647	joeddav/xlm-roberta-large-xnli	en
Transgender identities are natural.	8	0.006566190626472235	0.019354043528437614	0.013428905047476292	0.08773481100797653	0.07230289280414581	0.6563475131988525	0.14426562190055847	joeddav/xlm-roberta-large-xnli	en
Transgender people were born the way they are.	9	0.00940627045929432	0.10353060811758041	0.04733023792505264	0.12343195080757141	0.0802953913807869	0.5389137864112854	0.09709174931049347	joeddav/xlm-roberta-large-xnli	en
It would be best if society stopped labeling people based on whether they are female or male.	10	0.05113119259476662	0.14944523572921753	0.1634330451488495	0.12917885184288025	0.1461494415998459	0.24720391631126404	0.11345832049846649	joeddav/xlm-roberta-large-xnli	en
There are many different gender identities people can have.	11	0.06793282926082611	0.15630383789539337	0.19476979970932007	0.22883497178554535	0.10245420783758163	0.15781839191913605	0.09188596159219742	joeddav/xlm-roberta-large-xnli	en
Biological sex is not just female or male; there are many possibilities.	12	0.04715408757328987	0.17378947138786316	0.14284341037273407	0.16666266322135925	0.13334162533283234	0.22858506441116333	0.10762372612953186	joeddav/xlm-roberta-large-xnli	en
It is possible to have more than one gender identity at the same time.	13	0.052463360130786896	0.1409236192703247	0.07736455649137497	0.08095870912075043	0.12870363891124725	0.35211458802223206	0.1674715280532837	joeddav/xlm-roberta-large-xnli	en
Not all cultures have the same gender identities.	14	0.01480273250490427	0.06070558726787567	0.8619822859764099	0.03405976668000221	0.015479743480682373	0.008136564865708351	0.004833292681723833	joeddav/xlm-roberta-large-xnli	en
Men who behave in feminine ways are looking for attention.	15	0.03140690550208092	0.16243459284305573	0.10787712782621384	0.03251834586262703	0.1442190408706665	0.3652969002723694	0.15624716877937317	joeddav/xlm-roberta-large-xnli	en
A real man needs to be masculine.	16	0.045546021312475204	0.16488413512706757	0.12957103550434113	0.11057773977518082	0.12706692516803741	0.25013235211372375	0.17222176492214203	joeddav/xlm-roberta-large-xnli	en
People of the same gender tend to be similar to each other.	17	0.0028479036409407854	0.009240477345883846	0.001298911520279944	0.007088447920978069	0.23447641730308533	0.4897371828556061	0.25531065464019775	joeddav/xlm-roberta-large-xnli	en
People who have the same biological sex are mostly similar to each other.	18	0.0015089494409039617	0.004131244029849768	0.0013581603998318315	0.0018051243387162685	0.4499998092651367	0.34234750270843506	0.198849156498909	joeddav/xlm-roberta-large-xnli	en
Feminine people are similar to other feminine people, and masculine people are similar to other masculine people.	19	0.017869748175144196	0.24399451911449432	0.09329437464475632	0.024854492396116257	0.248368501663208	0.3121285140514374	0.05948983505368233	joeddav/xlm-roberta-large-xnli	en
