item	item_index	1	2	3	4	5	model	lang
Ich bin gesprächig, unterhalte mich gern.	1	0.1722249686717987	0.25104907155036926	0.09021776169538498	0.20296752452850342	0.2835406959056854	joeddav/xlm-roberta-large-xnli	de
Ich neige dazu, andere zu kritisieren.	2	0.12184979021549225	0.13202795386314392	0.08564561605453491	0.40998244285583496	0.25049421191215515	joeddav/xlm-roberta-large-xnli	de
Ich erledige Aufgaben gründlich.	3	0.046589504927396774	0.07665231823921204	0.05219987407326698	0.2589651048183441	0.5655931830406189	joeddav/xlm-roberta-large-xnli	de
Ich bin deprimiert, niedergeschlagen.	4	0.20860108733177185	0.3263227343559265	0.05519323796033859	0.2539657950401306	0.15591716766357422	joeddav/xlm-roberta-large-xnli	de
Ich bin originell, entwickle neue Ideen.	5	0.09885142743587494	0.10856898128986359	0.1394345909357071	0.360653817653656	0.29249122738838196	joeddav/xlm-roberta-large-xnli	de
Ich bin eher zurückhaltend, reserviert.	6	0.11726643145084381	0.5174100399017334	0.08559072017669678	0.1720234900712967	0.10770931094884872	joeddav/xlm-roberta-large-xnli	de
Ich bin hilfsbereit und selbstlos gegenüber anderen.	7	0.06340228021144867	0.10191340744495392	0.06767693907022476	0.29748737812042236	0.46952006220817566	joeddav/xlm-roberta-large-xnli	de
Ich bin manchmal unsorgfältig und schluderig.	8	0.1524311602115631	0.2413533329963684	0.1362607181072235	0.2106805443763733	0.2592741847038269	joeddav/xlm-roberta-large-xnli	de
Ich bin entspannt, lasse mich durch Stress nicht aus der Ruhe bringen.	9	0.20583119988441467	0.2500403821468353	0.14761480689048767	0.20886561274528503	0.1876479685306549	joeddav/xlm-roberta-large-xnli	de
Ich bin vielseitig interessiert.	10	0.17919737100601196	0.2742956280708313	0.09086934477090836	0.19375820457935333	0.2618795335292816	joeddav/xlm-roberta-large-xnli	de
Ich bin voller Energie und Tatendrang.	11	0.0826941430568695	0.13817459344863892	0.0944051444530487	0.26876765489578247	0.4159584641456604	joeddav/xlm-roberta-large-xnli	de
Ich bin häufig in Streitereien verwickelt.	12	0.06364389508962631	0.06992020457983017	0.06789500266313553	0.3101102411746979	0.4884306490421295	joeddav/xlm-roberta-large-xnli	de
Ich arbeite zuverlässig und gewissenhaft.	13	0.09700235724449158	0.14759710431098938	0.07596667855978012	0.28142428398132324	0.3980095386505127	joeddav/xlm-roberta-large-xnli	de
Ich reagiere leicht angespannt.	14	0.16385945677757263	0.2520824074745178	0.08116908371448517	0.24272896349430084	0.2601601183414459	joeddav/xlm-roberta-large-xnli	de
Ich bin tiefsinnig, denke gerne über Sachen nach.	15	0.1453850418329239	0.2577786445617676	0.12801487743854523	0.2521049678325653	0.21671651303768158	joeddav/xlm-roberta-large-xnli	de
Ich bin begeisterungsfähig und kann andere leicht mitreißen.	16	0.048240065574645996	0.053602784872055054	0.05333738774061203	0.3754221498966217	0.469397634267807	joeddav/xlm-roberta-large-xnli	de
Ich bin nicht nachtragend, vergebe anderen leicht.	17	0.12087492644786835	0.22284221649169922	0.28373146057128906	0.1756308674812317	0.19692052900791168	joeddav/xlm-roberta-large-xnli	de
Ich bin eher unordentlich.	18	0.13555461168289185	0.7863932251930237	0.01583106815814972	0.046789124608039856	0.015431918203830719	joeddav/xlm-roberta-large-xnli	de
