item	item_index	1	2	3	4	5	model	lang
People see me as a natural leader.	1	0.07511745393276215	0.08454585820436478	0.14009365439414978	0.27711108326911926	0.4231320321559906	joeddav/xlm-roberta-large-xnli	en
I have a natural talent for persuading people.	2	0.027619030326604843	0.13559383153915405	0.06636153906583786	0.5934322476387024	0.17699335515499115	joeddav/xlm-roberta-large-xnli	en
I entertain people with my jokes and stories.	3	0.05459059402346611	0.2582617402076721	0.16589726507663727	0.46605774760246277	0.055192653089761734	joeddav/xlm-roberta-large-xnli	en
Group activities tend to be dull without me.	4	0.07757509499788284	0.189479261636734	0.1835489571094513	0.40075939893722534	0.1486372947692871	joeddav/xlm-roberta-large-xnli	en
I know I’m special because people keep telling me so.	5	0.028900837525725365	0.11695938557386398	0.055762797594070435	0.49056753516197205	0.30780938267707825	joeddav/xlm-roberta-large-xnli	en
I have a number of exceptional qualities.	6	0.11497534811496735	0.20461758971214294	0.09993845969438553	0.4126187264919281	0.1678498536348343	joeddav/xlm-roberta-large-xnli	en
I like to show off every now and then.	7	0.0463888980448246	0.20866833627223969	0.09587446600198746	0.561648964881897	0.08741934597492218	joeddav/xlm-roberta-large-xnli	en
I hate being the center of attention.	8	0.12104401737451553	0.14677613973617554	0.3810153305530548	0.173036590218544	0.17812791466712952	joeddav/xlm-roberta-large-xnli	en
I am just an average person.	9	0.0744258463382721	0.12886174023151398	0.12720684707164764	0.5638790726661682	0.10562649369239807	joeddav/xlm-roberta-large-xnli	en
I’m likely to become a future star in some area.	10	0.017306942492723465	0.06483868509531021	0.04981018975377083	0.6184470057487488	0.2495972365140915	joeddav/xlm-roberta-large-xnli	en
If someone disrespects me, I blast them immediately.	11	0.4104393422603607	0.21712584793567657	0.19876448810100555	0.01689126342535019	0.15677903592586517	joeddav/xlm-roberta-large-xnli	en
I’m easily bored when other people talk.	12	0.135117307305336	0.3125336468219757	0.23698292672634125	0.21264880895614624	0.1027173399925232	joeddav/xlm-roberta-large-xnli	en
It's not wise to let people know your secrets.	13	0.09833436459302902	0.14853231608867645	0.39949318766593933	0.2032884806394577	0.15035167336463928	joeddav/xlm-roberta-large-xnli	en
