item	item_index	0	1	2	3	4	5	model	lang
Compassion for those who are suffering is the most crucial virtue.	17	0.05183710530400276	0.14474378526210785	0.14200058579444885	0.16261054575443268	0.22270677983760834	0.2761012017726898	joeddav/xlm-roberta-large-xnli	en
When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.	18	0.029711268842220306	0.10667645186185837	0.04663475975394249	0.09877677261829376	0.20002233982086182	0.5181783437728882	joeddav/xlm-roberta-large-xnli	en
I am proud of my country’s history.	19	0.031398847699165344	0.08096802234649658	0.05510212481021881	0.09611914306879044	0.12295269966125488	0.6134591698646545	joeddav/xlm-roberta-large-xnli	en
Respect for authority is something all children need to learn.	20	0.04417038336396217	0.17451141774654388	0.11943014711141586	0.20880535244941711	0.18994566798210144	0.26313701272010803	joeddav/xlm-roberta-large-xnli	en
People should not do things that are disgusting, even if no one is harmed.	21	0.1604437381029129	0.28159475326538086	0.20988601446151733	0.08567272126674652	0.19318443536758423	0.06921834498643875	joeddav/xlm-roberta-large-xnli	en
It is better to do good than to do bad.	22	0.06521358340978622	0.13662050664424896	0.11231943964958191	0.18968458473682404	0.23076196014881134	0.2653999626636505	joeddav/xlm-roberta-large-xnli	en
One of the worst things a person could do is hurt a defenseless animal.	23	0.17286619544029236	0.15826533734798431	0.17709891498088837	0.12832510471343994	0.12651720643043518	0.23692730069160461	joeddav/xlm-roberta-large-xnli	en
Justice is the most important requirement for a society.	24	0.07417386770248413	0.2451801896095276	0.12012675404548645	0.15743504464626312	0.1425916999578476	0.2604924738407135	joeddav/xlm-roberta-large-xnli	en
People should be loyal to their family members, even when they have done something wrong.	25	0.021919945254921913	0.13127681612968445	0.15781845152378082	0.1794663816690445	0.1879120171070099	0.32160642743110657	joeddav/xlm-roberta-large-xnli	en
Men and women each have different roles to play in society.	26	0.1693379133939743	0.17302152514457703	0.35492467880249023	0.08805876970291138	0.14807511866092682	0.06658211350440979	joeddav/xlm-roberta-large-xnli	en
I would call some acts wrong on the grounds that they are unnatural.	27	0.4300720691680908	0.028715405613183975	0.4956572949886322	0.024979861453175545	0.009834433905780315	0.010740870609879494	joeddav/xlm-roberta-large-xnli	en
It can never be right to kill a human being.	28	0.6222251057624817	0.053774889558553696	0.13824155926704407	0.04688072204589844	0.03725457936525345	0.10162307322025299	joeddav/xlm-roberta-large-xnli	en
I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.	29	0.2601761817932129	0.1063380315899849	0.44731125235557556	0.08250423520803452	0.044242262840270996	0.05942811816930771	joeddav/xlm-roberta-large-xnli	en
It is more important to be a team player than to express oneself.	30	0.10013342648744583	0.2156914472579956	0.1747298687696457	0.15843698382377625	0.15606921911239624	0.1949390470981598	joeddav/xlm-roberta-large-xnli	en
If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.	31	0.08187610656023026	0.08125339448451996	0.3592880666255951	0.12228015065193176	0.22111022472381592	0.13419197499752045	joeddav/xlm-roberta-large-xnli	en
Chastity is an important and valuable virtue.	32	0.02932656556367874	0.26151323318481445	0.07648961991071701	0.13915595412254333	0.23059812188148499	0.2629165053367615	joeddav/xlm-roberta-large-xnli	en
Compassion for those who are suffering is the most crucial virtue.	17	0.016332484781742096	0.10635356605052948	0.0815315991640091	0.1989082396030426	0.26317644119262695	0.33369767665863037	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.	18	0.063152015209198	0.14727231860160828	0.14764736592769623	0.17528602480888367	0.20954425632953644	0.2570980489253998	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
