item	item_index	1	2	3	4	5	model	lang
I am someone who is talkative.	1	0.07627536356449127	0.19307507574558258	0.06157956272363663	0.48637717962265015	0.18269279599189758	joeddav/xlm-roberta-large-xnli	en
I am someone who tends to find fault with others.	2	0.1432928591966629	0.5870746374130249	0.06409472227096558	0.12401846051216125	0.0815192386507988	joeddav/xlm-roberta-large-xnli	en
I am someone who does a thorough job.	3	0.1323104202747345	0.04842570796608925	0.145930677652359	0.12038439512252808	0.5529488325119019	joeddav/xlm-roberta-large-xnli	en
I am someone who is depressed, blue.	4	0.16384834051132202	0.3042961657047272	0.13379663228988647	0.1917881816625595	0.20627067983150482	joeddav/xlm-roberta-large-xnli	en
I am someone who is original, comes up with new ideas.	5	0.052634261548519135	0.4673767387866974	0.26194772124290466	0.1483466625213623	0.0696946382522583	joeddav/xlm-roberta-large-xnli	en
I am someone who is reserved.	6	0.19390983879566193	0.5064632892608643	0.18641437590122223	0.05456465110182762	0.05864787474274635	joeddav/xlm-roberta-large-xnli	en
I am someone who is helpful and unselfish with others.	7	0.038652509450912476	0.07958655804395676	0.1927054077386856	0.36877551674842834	0.3202800154685974	joeddav/xlm-roberta-large-xnli	en
I am someone who can be somewhat careless.	8	0.016972128301858902	0.42390528321266174	0.023794492706656456	0.5180172920227051	0.01731085777282715	joeddav/xlm-roberta-large-xnli	en
I am someone who is relaxed, handles stress well.  .	9	0.11429916322231293	0.12519720196723938	0.19521142542362213	0.3174659311771393	0.24782638251781464	joeddav/xlm-roberta-large-xnli	en
I am someone who is curious about many different things.	10	0.11391545087099075	0.20882171392440796	0.22938624024391174	0.24812988936901093	0.1997467577457428	joeddav/xlm-roberta-large-xnli	en
I am someone who is full of energy.	11	0.10021393746137619	0.1069224551320076	0.15605194866657257	0.23197853565216064	0.404833048582077	joeddav/xlm-roberta-large-xnli	en
I am someone who starts quarrels with others.	12	0.021838726475834846	0.9507323503494263	0.0068859984166920185	0.016344103962183	0.004198898561298847	joeddav/xlm-roberta-large-xnli	en
I am someone who is a reliable worker.	13	0.0373079814016819	0.025667158886790276	0.045757852494716644	0.07231281697750092	0.8189542293548584	joeddav/xlm-roberta-large-xnli	en
I am someone who can be tense.	14	0.11557907611131668	0.31477245688438416	0.12210384756326675	0.277771532535553	0.16977311670780182	joeddav/xlm-roberta-large-xnli	en
I am someone who is ingenious, a deep thinker.	15	0.11473874002695084	0.15839232504367828	0.1256268322467804	0.29384511709213257	0.3073970079421997	joeddav/xlm-roberta-large-xnli	en
I am someone who generates a lot of enthusiasm.	16	0.02411116100847721	0.03799517825245857	0.050716158002614975	0.19886727631092072	0.6883102059364319	joeddav/xlm-roberta-large-xnli	en
