item	item_index	1	2	3	4	5	6	model	lang
It is important to her to form her views independently.	1	0.13632655143737793	0.278395414352417	0.10730405896902084	0.1808827668428421	0.16697528958320618	0.13011592626571655	joeddav/xlm-roberta-large-xnli	en
It is important to her that her country is secure and stable.	2	0.10287187993526459	0.20485053956508636	0.11773589998483658	0.2162083089351654	0.25607526302337646	0.10225804895162582	joeddav/xlm-roberta-large-xnli	en
It is important to her to have a good time.	3	0.10235171020030975	0.27055680751800537	0.10569293797016144	0.15565647184848785	0.29283735156059265	0.07290469110012054	joeddav/xlm-roberta-large-xnli	en
It is important to her to avoid upsetting other people.	4	0.11490252614021301	0.23241811990737915	0.12665507197380066	0.23878422379493713	0.17825649678707123	0.10898353159427643	joeddav/xlm-roberta-large-xnli	en
It is important to her that the weak and vulnerable in society be protected.	5	0.11712007969617844	0.2997809648513794	0.10332927852869034	0.1865391731262207	0.2140711545944214	0.07915940880775452	joeddav/xlm-roberta-large-xnli	en
It is important to her that people do what she says they should.	6	0.10039260238409042	0.25284332036972046	0.13195198774337769	0.20512694120407104	0.18039880692958832	0.12928634881973267	joeddav/xlm-roberta-large-xnli	en
It is important to her never to think she deserves more than other people.	7	0.13868649303913116	0.40388786792755127	0.09937962144613266	0.16097867488861084	0.10690014064311981	0.09016723930835724	joeddav/xlm-roberta-large-xnli	en
It is important to her to care for nature.	8	0.10939066857099533	0.18984302878379822	0.11611612886190414	0.2393386960029602	0.24380195140838623	0.10150951147079468	joeddav/xlm-roberta-large-xnli	en
It is important to her that no one should ever shame her.	9	0.11390631645917892	0.3127250671386719	0.1179572343826294	0.14627422392368317	0.21257351338863373	0.09656372666358948	joeddav/xlm-roberta-large-xnli	en
It is important to her always to look for different things to do.	10	0.16142496466636658	0.30963242053985596	0.10451056063175201	0.19387704133987427	0.12328245490789413	0.10727257281541824	joeddav/xlm-roberta-large-xnli	en
It is important to her to take care of people she is close to.	11	0.07763110101222992	0.1971469521522522	0.1292431652545929	0.1598484367132187	0.3311898708343506	0.1049405187368393	joeddav/xlm-roberta-large-xnli	en
It is important to her to have the power that money can bring.	12	0.06441835314035416	0.19657497107982635	0.14450888335704803	0.19697745144367218	0.2866613268852234	0.11085891723632812	joeddav/xlm-roberta-large-xnli	en
It is very important to her to avoid disease and protect her health.	13	0.08885902911424637	0.2372237741947174	0.10540739446878433	0.15368059277534485	0.3291512131690979	0.0856781005859375	joeddav/xlm-roberta-large-xnli	en
It is important to her to be tolerant toward all kinds of people and groups.	14	0.13890260457992554	0.2288949191570282	0.13014142215251923	0.18120037019252777	0.19021359086036682	0.13064703345298767	joeddav/xlm-roberta-large-xnli	en
It is important to her never to violate rules or regulations.	15	0.1121591180562973	0.22476588189601898	0.09667938947677612	0.2536024749279022	0.22520650923252106	0.08758661150932312	joeddav/xlm-roberta-large-xnli	en
It is important to her to make her own decisions about her life.	16	0.10619664192199707	0.25118371844291687	0.09339701384305954	0.17664693295955658	0.27094611525535583	0.10162957012653351	joeddav/xlm-roberta-large-xnli	en
It is important to her to have ambitions in life.	17	0.1445312201976776	0.3083329200744629	0.10864833742380142	0.1738581657409668	0.1565515547990799	0.10807787626981735	joeddav/xlm-roberta-large-xnli	en
It is important to her to maintain traditional values and ways of thinking.	18	0.05960216373205185	0.24712292850017548	0.12786974012851715	0.1672796607017517	0.2827380895614624	0.115387462079525	joeddav/xlm-roberta-large-xnli	en
It is important to her that people she knows have full confidence in her.	19	0.09209489822387695	0.18798723816871643	0.12917600572109222	0.14696095883846283	0.3560265898704529	0.08775441348552704	joeddav/xlm-roberta-large-xnli	en
It is important to her to be wealthy.	20	0.09922084212303162	0.20195037126541138	0.12969329953193665	0.17109324038028717	0.30173665285110474	0.09630565345287323	joeddav/xlm-roberta-large-xnli	en
It is important to her to take part in activities to defend nature.	21	0.10431171208620071	0.20070324838161469	0.10721417516469955	0.23469173908233643	0.2577005624771118	0.09537859261035919	joeddav/xlm-roberta-large-xnli	en
It is important to her never to annoy anyone.	22	0.16813455522060394	0.27278822660446167	0.10453328490257263	0.1704663336277008	0.17479145526885986	0.10928606241941452	joeddav/xlm-roberta-large-xnli	en
It is important to her to develop her own opinions.	23	0.11381211131811142	0.20671984553337097	0.1312762349843979	0.19119998812675476	0.20843788981437683	0.14855389297008514	joeddav/xlm-roberta-large-xnli	en
It is important to her to protect her public image.	24	0.11173741519451141	0.21061961352825165	0.11365174502134323	0.28026559948921204	0.18516238033771515	0.0985633134841919	joeddav/xlm-roberta-large-xnli	en
It is very important to her to help the people dear to her.	25	0.062446363270282745	0.2490980327129364	0.1216331273317337	0.1823083460330963	0.29791733622550964	0.08659681677818298	joeddav/xlm-roberta-large-xnli	en
It is important to her to be personally safe and secure.	26	0.09912048280239105	0.2511370778083801	0.09379461407661438	0.1736251413822174	0.31012654304504395	0.07219617068767548	joeddav/xlm-roberta-large-xnli	en
It is important to her to be a dependable and trustworthy friend.	27	0.1276167780160904	0.2854364812374115	0.1088021770119667	0.15181811153888702	0.22667038440704346	0.09965604543685913	joeddav/xlm-roberta-large-xnli	en
It is important to her to take risks that make life exciting.	28	0.08807235956192017	0.29085060954093933	0.10943762958049774	0.17652203142642975	0.22848330438137054	0.10663405060768127	joeddav/xlm-roberta-large-xnli	en
It is important to her to have the power to make people do what she wants.	29	0.07816694676876068	0.19113396108150482	0.13211898505687714	0.2186143696308136	0.2329787313938141	0.14698702096939087	joeddav/xlm-roberta-large-xnli	en
It is important to her to plan her activities independently.	30	0.10885694622993469	0.21599650382995605	0.09812497347593307	0.20298971235752106	0.26497021317481995	0.10906162112951279	joeddav/xlm-roberta-large-xnli	en
It is important to her to follow rules even when no-one is watching.	31	0.10613999515771866	0.19414041936397552	0.09502091258764267	0.17061841487884521	0.3606671690940857	0.07341313362121582	joeddav/xlm-roberta-large-xnli	en
It is important to her to be very successful.	32	0.11798853427171707	0.26962417364120483	0.12353161722421646	0.1754634529352188	0.22424618899822235	0.08914607763290405	joeddav/xlm-roberta-large-xnli	en
It is important to her to follow her family’s customs or the customs of a religion.	33	0.09653755277395248	0.1802927553653717	0.15247489511966705	0.20215995609760284	0.25455671548843384	0.11397810280323029	joeddav/xlm-roberta-large-xnli	en
It is important to her to listen to and understand people who are different from her.	34	0.15809455513954163	0.6480453014373779	0.07766943424940109	0.04094100743532181	0.04630596935749054	0.02894357219338417	joeddav/xlm-roberta-large-xnli	en
It is important to her to have a strong state that can defend its citizens.	35	0.14314328134059906	0.24337121844291687	0.11862452328205109	0.18267306685447693	0.18026666343212128	0.13192124664783478	joeddav/xlm-roberta-large-xnli	en
