item	item_index	1	2	3	4	5	model	lang
Ich bin eher zurückhaltend, reserviert.	1	0.026792030781507492	0.7619063854217529	0.16675657033920288	0.04081994295120239	0.0037250136956572533	joeddav/xlm-roberta-large-xnli	de
Ich schenke anderen leicht Vertrauen, glaube an das Gute im Menschen.	2	0.05779173970222473	0.15440677106380463	0.2108578383922577	0.5396550297737122	0.0372886024415493	joeddav/xlm-roberta-large-xnli	de
Ich bin bequem, neige zur Faulheit.	3	0.09065701067447662	0.4372859001159668	0.19721248745918274	0.2600932717323303	0.014751414768397808	joeddav/xlm-roberta-large-xnli	de
Ich bin entspannt, lasse mich durch Stress nicht aus der Ruhe bringen.	4	0.10920365154743195	0.20213408768177032	0.5343136787414551	0.12753255665302277	0.02681601606309414	joeddav/xlm-roberta-large-xnli	de
Ich habe nur wenig künstlerisches Interesse.	5	0.0565071776509285	0.6786777973175049	0.2142070233821869	0.04262382909655571	0.007984176278114319	joeddav/xlm-roberta-large-xnli	de
Ich gehe aus mir heraus, bin gesellig.	6	0.11793167889118195	0.347466379404068	0.31260398030281067	0.19599880278110504	0.025999097153544426	joeddav/xlm-roberta-large-xnli	de
Ich neige dazu, andere zu kritisieren.	7	0.05793330445885658	0.1590789407491684	0.17829811573028564	0.5668412446975708	0.03784840181469917	joeddav/xlm-roberta-large-xnli	de
Ich erledige Aufgaben gründlich.	8	0.061272989958524704	0.12866905331611633	0.1290789246559143	0.2626540958881378	0.4183249771595001	joeddav/xlm-roberta-large-xnli	de
Ich werde leicht nervös und unsicher.	9	0.08714612573385239	0.37484559416770935	0.20533226430416107	0.3039381504058838	0.028737857937812805	joeddav/xlm-roberta-large-xnli	de
Ich habe eine aktive Vorstellungskraft, bin phantasievoll.	10	0.1156478300690651	0.14829231798648834	0.24563075602054596	0.42310699820518494	0.06732206046581268	joeddav/xlm-roberta-large-xnli	de
I see myself as someone who is reserved.	1	0.18447071313858032	0.4346466660499573	0.24455688893795013	0.07973102480173111	0.05659469589591026	joeddav/xlm-roberta-large-xnli	en
I see myself as someone who is generally trusting.	2	0.044424910098314285	0.036427050828933716	0.10828318446874619	0.2936423718929291	0.51722252368927	joeddav/xlm-roberta-large-xnli	en
I see myself as someone who tends to be lazy.	3	0.13383327424526215	0.2121373862028122	0.19109119474887848	0.31585007905960083	0.14708805084228516	joeddav/xlm-roberta-large-xnli	en
I see myself as someone who is relaxed, handles stress well.	4	0.14029686152935028	0.18015719950199127	0.25151577591896057	0.2666776478290558	0.1613525003194809	joeddav/xlm-roberta-large-xnli	en
I see myself as someone who has few artistic interests.	5	0.21107962727546692	0.22375020384788513	0.27286002039909363	0.16856782138347626	0.12374237179756165	joeddav/xlm-roberta-large-xnli	en
I see myself as someone who is outgoing, sociable.	6	0.1804523766040802	0.14393530786037445	0.22952896356582642	0.22151491045951843	0.2245684713125229	joeddav/xlm-roberta-large-xnli	en
I see myself as someone who tends to find fault with others.	7	0.1715075820684433	0.4890260398387909	0.12791791558265686	0.12783297896385193	0.0837155133485794	joeddav/xlm-roberta-large-xnli	en
I see myself as someone who does a thorough job.	8	0.20568609237670898	0.06531649082899094	0.19709376990795135	0.20203346014022827	0.32987022399902344	joeddav/xlm-roberta-large-xnli	en
I see myself as someone who gets nervous easily.	9	0.1496792435646057	0.16608461737632751	0.2599775493144989	0.29242458939552307	0.131834015250206	joeddav/xlm-roberta-large-xnli	en
I see myself as someone who has an active imagination.	10	0.07998678088188171	0.1969635784626007	0.09491292387247086	0.45841485261917114	0.1697218269109726	joeddav/xlm-roberta-large-xnli	en
Ich bin eher zurückhaltend, reserviert.	1	0.0015699703944846988	0.4086974561214447	0.037608277052640915	0.5511557459831238	0.0009685814147815108	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	de
Ich schenke anderen leicht Vertrauen, glaube an das Gute im Menschen.	2	0.01268206536769867	0.07010051608085632	0.054468147456645966	0.7587621212005615	0.10398717224597931	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	de
Ich bin bequem, neige zur Faulheit.	3	0.006345964036881924	0.7104527354240417	0.0599227100610733	0.21936064958572388	0.003917891066521406	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	de
Ich bin entspannt, lasse mich durch Stress nicht aus der Ruhe bringen.	4	0.08539164811372757	0.17694677412509918	0.11737262457609177	0.44757726788520813	0.17271165549755096	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	de
Ich habe nur wenig künstlerisches Interesse.	5	0.013696623966097832	0.3375433087348938	0.5022399425506592	0.14574362337589264	0.0007764048059470952	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	de
Ich gehe aus mir heraus, bin gesellig.	6	0.023107783868908882	0.1286555379629135	0.16440802812576294	0.4360416531562805	0.24778695404529572	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	de
Ich neige dazu, andere zu kritisieren.	7	0.009251320734620094	0.513210117816925	0.016645656898617744	0.4581187069416046	0.002774193650111556	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	de
